iter	RMSE
0	362.7134051
1	360.6330583
2	359.0359972
3	357.6428552
4	356.2148419
5	355.299402
6	354.2304397
7	353.1451499
8	351.7110508
9	350.3263165
10	349.4886444
11	347.8704968
12	347.0461246
13	345.263471
14	344.2899473
15	343.1922629
16	342.4931528
17	341.9695467
18	341.1208224
19	340.4068078
20	339.3599143
21	338.5618091
22	337.9666857
23	337.5553774
24	336.7919485
25	336.228293
26	335.6827643
27	334.9162279
28	334.1622782
29	333.6753585
30	333.1886244
31	332.5221065
32	332.0404612
33	331.7066959
34	331.415423
35	330.5983081
36	330.2463876
37	329.6737049
38	329.4072032
39	329.0716362
40	328.4562739
41	328.1097694
42	327.7616775
43	327.3077034
44	326.6120478
45	326.31715
46	326.0818954
47	325.6202338
48	325.4241231
49	325.2017311
50	324.7419297
51	324.5000356
52	324.2758982
53	323.8591259
54	323.5326047
55	323.2687449
56	323.0493616
57	322.7468667
58	322.5147584
59	322.2812558
60	322.0125764
61	321.6237853
62	321.3414364
63	320.9846668
64	320.7708398
65	320.6191065
66	320.3124125
67	320.0804213
68	319.9094645
69	319.5529996
70	319.2729019
71	319.1855123
72	318.8587211
73	318.692764
74	318.5825692
75	318.2771234
76	317.9330872
77	317.4979813
78	317.3833466
79	317.1419394
80	316.7010002
81	316.4383907
82	316.070443
83	315.8033412
84	315.6464154
85	315.4136662
86	315.281943
87	315.0336717
88	314.7138313
89	314.4324134
90	314.3309401
91	314.0693388
92	313.707972
93	313.4396482
94	313.344349
95	313.1629886
96	312.8546219
97	312.5775587
98	312.3590447
99	312.1530627
100	311.8896233
101	311.6712905
102	311.3473264
103	311.1633016
104	311.0519912
105	310.7888072
106	310.6285812
107	310.3184315
108	310.0456232
109	309.8498464
110	309.5483433
111	309.2866301
112	309.0736081
113	308.7530292
114	308.646142
115	308.432831
116	308.1949043
117	307.9404542
118	307.5489088
119	307.3768741
120	307.078363
121	306.7815456
122	306.4945076
123	306.3701381
124	306.0712313
125	305.6853524
126	305.4295069
127	305.1461548
128	304.5929122
129	304.3703657
130	304.2337
131	303.9851106
132	303.6636116
133	303.2349485
134	302.9119303
135	302.6361123
136	302.4173755
137	302.0997134
138	301.7871122
139	301.4412249
140	301.1812656
141	300.9255763
142	300.5718436
143	300.239811
144	300.0214631
145	299.7972198
146	299.3906229
147	299.0241215
148	298.7913788
149	298.4210404
150	298.0080745
151	297.5787662
152	297.2461494
153	296.878941
154	296.4958395
155	296.2087466
156	295.9495425
157	295.5821073
158	295.169961
159	294.8679716
160	294.4346375
161	294.1640555
162	293.6862742
163	293.46757
164	293.1963744
165	292.8348982
166	292.4466966
167	292.2766622
168	291.9425956
169	291.7290618
170	291.2278008
171	291.0452709
172	290.9118117
173	290.5420132
174	290.3684292
175	290.1690875
176	289.9211228
177	289.6148084
178	289.3575621
179	289.0829855
180	288.7730834
181	288.6438041
182	288.5246288
183	288.3465169
184	288.0194135
185	287.8614519
186	287.6302976
187	287.2923488
188	287.2030468
189	287.0329846
190	286.4930684
191	286.1578727
192	285.9214513
193	285.7002504
194	285.4078384
195	284.9048065
196	284.8189262
197	284.4306185
198	284.2431058
199	284.1451779
200	283.9344749
201	283.8066964
202	283.621454
203	283.4574578
204	283.3607211
205	283.0220326
206	282.9309722
207	282.6260885
208	282.1574374
209	281.8132987
210	281.7094696
211	281.4990411
212	281.1667188
213	281.0679717
214	280.9937395
215	280.9118737
216	280.7050472
217	280.229317
218	280.1325801
219	279.7276228
220	279.6635
221	279.5833621
222	279.5216961
223	279.4579793
224	278.9781044
225	278.7931068
226	278.689315
227	278.4314891
228	278.2441281
229	277.9912517
230	277.853618
231	277.6756372
232	277.4888526
233	277.3070357
234	277.0966017
235	277.0487408
236	276.8042118
237	276.7145355
238	276.4766529
239	276.2296253
240	276.2023485
241	275.7860764
242	275.7006
243	275.5686522
244	275.513023
245	275.3752562
246	275.314435
247	274.9637951
248	274.8313626
249	274.4256787
250	274.2006334
251	274.1186957
252	274.0577628
253	273.9176418
254	273.663304
255	273.6009187
256	273.5246276
257	273.490452
258	273.1813922
259	273.1279254
260	273.10624
261	272.8782657
262	272.7431587
263	272.3118499
264	272.0538199
265	271.7790552
266	271.3631443
267	271.2163572
268	271.0696012
269	271.0253845
270	270.8197934
271	270.404733
272	270.1751632
273	270.1010503
274	269.9685121
275	269.7170122
276	269.4937311
277	269.2636513
278	269.1972696
279	269.1264975
280	269.0636847
281	268.9367305
282	268.7244167
283	268.6799956
284	268.2748018
285	268.2125087
286	267.9910343
287	267.7770337
288	267.7453511
289	267.5525435
290	267.0836885
291	266.9581337
292	266.8939293
293	266.6431958
294	266.3670804
295	266.2799892
296	265.9636023
297	265.569291
298	265.3784295
299	265.3648071
