iter	Passed	Remaining
0	1664	497542
1	1699	253283
2	1867	184927
3	1880	139155
4	1980	116835
5	2026	99279
6	2073	86795
7	2097	76554
8	2160	69849
9	2233	64769
10	2595	68178
11	2962	71096
12	3322	73356
13	3530	72123
14	3714	70579
15	3845	68250
16	3903	64984
17	3919	61412
18	4044	59815
19	4158	58221
20	4318	57375
21	4502	56898
22	4556	54878
23	4569	52554
24	4691	51606
25	4826	50868
26	4855	49094
27	4963	48215
28	5068	47361
29	5084	45760
30	5187	45010
31	5205	43594
32	5340	43208
33	5533	43290
34	5648	42767
35	5666	41552
36	5766	40988
37	5873	40496
38	6041	40431
39	6042	39278
40	6068	38337
41	6199	38080
42	6372	38087
43	6490	37760
44	6606	37437
45	6773	37401
46	6925	37281
47	7038	36954
48	7059	36159
49	7077	35385
50	7212	35213
51	7411	35348
52	7446	34703
53	7565	34466
54	7678	34205
55	7704	33571
56	7818	33333
57	7927	33077
58	8046	32867
59	8274	33099
60	8385	32855
61	8409	32280
62	8510	32014
63	8657	31924
64	8673	31358
65	8698	30839
66	8742	30403
67	8774	29935
68	8806	29482
69	8837	29038
70	8887	28666
71	8932	28285
72	8942	27808
73	8952	27339
74	9055	27167
75	9064	26717
76	9080	26298
77	9110	25929
78	9136	25557
79	9161	25192
80	9180	24821
81	9195	24446
82	9201	24058
83	9287	23883
84	9324	23585
85	9383	23349
86	9400	23014
87	9505	22900
88	9520	22570
89	9691	22613
90	9737	22364
91	9773	22095
92	9802	21817
93	9838	21560
94	9864	21285
95	9871	20976
96	9952	20829
97	9970	20550
98	10111	20529
99	10137	20275
100	10163	20025
101	10173	19748
102	10196	19501
103	10215	19251
104	10228	18995
105	10245	18750
106	10264	18513
107	10283	18280
108	10302	18052
109	10316	17819
110	10329	17588
111	10344	17363
112	10352	17131
113	10474	17089
114	10682	17184
115	10730	17020
116	10754	16821
117	10793	16647
118	10809	16441
119	10825	16238
120	10848	16049
121	10860	15846
122	10869	15641
123	10872	15431
124	10876	15226
125	10963	15139
126	10981	14958
127	11005	14788
128	11020	14608
129	11031	14426
130	11041	14244
131	11067	14086
132	11078	13910
133	11094	13743
134	11106	13574
135	11119	13408
136	11135	13248
137	11155	13095
138	11176	12945
139	11191	12790
140	11208	12639
141	11219	12484
142	11231	12331
143	11493	12451
144	11512	12306
145	11526	12158
146	11618	12093
147	11639	11954
148	11658	11815
149	11669	11669
150	11680	11525
151	11694	11386
152	11705	11246
153	11868	11251
154	11877	11110
155	11882	10968
156	11890	10830
157	11931	10723
158	11950	10597
159	11966	10470
160	11981	10344
161	11995	10218
162	12007	10092
163	12018	9966
164	12029	9841
165	12043	9722
166	12052	9598
167	12064	9479
168	12078	9362
169	12089	9245
170	12101	9129
171	12111	9013
172	12124	8900
173	12141	8792
174	12157	8683
175	12169	8573
176	12183	8466
177	12190	8355
178	12205	8250
179	12217	8144
180	12346	8117
181	12470	8085
182	12475	7975
183	12485	7871
184	12494	7766
185	12504	7664
186	12551	7584
187	12572	7489
188	12666	7438
189	12890	7463
190	13074	7461
191	13079	7357
192	13187	7311
193	13225	7226
194	13338	7182
195	13387	7103
196	13545	7082
197	13554	6982
198	13894	7051
199	14085	7042
200	14098	6943
201	14402	6987
202	14652	7001
203	15119	7114
204	15309	7094
205	15430	7041
206	16005	7190
207	16228	7177
208	16400	7140
209	16534	7086
210	16644	7020
211	16652	6912
212	16660	6804
213	16759	6734
214	16769	6629
215	16826	6543
216	17119	6547
217	17228	6480
218	17348	6416
219	17470	6352
220	17487	6251
221	17617	6189
222	17627	6086
223	17637	5984
224	17644	5881
225	17659	5782
226	17673	5683
227	17682	5583
228	17689	5484
229	17697	5386
230	17704	5288
231	17964	5265
232	18062	5194
233	18078	5099
234	18088	5003
235	18186	4932
236	18195	4836
237	18202	4741
238	18208	4647
239	18302	4575
240	18311	4482
241	18318	4390
242	18325	4298
243	18333	4207
244	18348	4119
245	18452	4050
246	18465	3962
247	18559	3891
248	18607	3811
249	18630	3726
250	18647	3640
251	18654	3553
252	18661	3466
253	18667	3380
254	18672	3295
255	18688	3212
256	18703	3129
257	18713	3046
258	18737	2966
259	18755	2885
260	18766	2804
261	18788	2725
262	18795	2644
263	18800	2563
264	18807	2483
265	18813	2404
266	18818	2325
267	19044	2273
268	19064	2197
269	19074	2119
270	19081	2041
271	19086	1964
272	19096	1888
273	19113	1813
274	19125	1738
275	19133	1663
276	19141	1589
277	19154	1515
278	19169	1442
279	19174	1369
280	19181	1296
281	19187	1224
282	19195	1153
283	19213	1082
284	19231	1012
285	19246	942
286	19290	873
287	19297	804
288	19302	734
289	19311	665
290	19406	600
291	19416	531
292	19427	464
293	19435	396
294	19549	331
295	19560	264
296	19565	197
297	19571	131
298	19579	65
299	19584	0
